title,description,rating,releaseDate,duration,genre
Movie 1,This is the description of movie 1,8.5,1991,3h 11m,Drama
Movie 2,This is the description of movie 2,9.5,1992,2h 12m,Drama
Movie 3,This is the description of movie 3,8.2,1993,3h 13m,Drama
Movie 4,This is the description of movie 4,9.3,1994,2h 14m,Drama
Movie 5,This is the description of movie 5,9.1,1995,3h 15m,Drama
Movie 6,This is the description of movie 6,8.9,1996,2h 16m,Drama
Movie 7,This is the description of movie 7,9.1,1997,3h 17m,Drama
Movie 8,This is the description of movie 8,9.3,1998,2h 18m,Drama
Movie 9,This is the description of movie 9,9.0,1999,3h 19m,Drama
Movie 10,This is the description of movie 10,9.7,2000,2h 20m,Drama
Movie 11,This is the description of movie 11,10.0,2001,3h 21m,Drama
Movie 12,This is the description of movie 12,8.1,2002,2h 22m,Drama
Movie 13,This is the description of movie 13,8.6,2003,3h 23m,Drama
Movie 14,This is the description of movie 14,9.4,2004,2h 24m,Drama
Movie 15,This is the description of movie 15,8.5,2005,3h 25m,Drama
Movie 16,This is the description of movie 16,9.1,2006,2h 26m,Drama
Movie 17,This is the description of movie 17,8.8,2007,3h 27m,Drama
Movie 18,This is the description of movie 18,8.2,2008,2h 28m,Drama
Movie 19,This is the description of movie 19,9.2,2009,3h 29m,Drama
Movie 20,This is the description of movie 20,9.7,2010,2h 30m,Drama
Movie 21,This is the description of movie 21,8.6,2011,3h 31m,Drama
Movie 22,This is the description of movie 22,8.7,2012,2h 32m,Drama
Movie 23,This is the description of movie 23,9.8,2013,3h 33m,Drama
Movie 24,This is the description of movie 24,9.2,2014,2h 34m,Drama
Movie 25,This is the description of movie 25,8.9,2015,3h 35m,Drama
Movie 26,This is the description of movie 26,9.9,2016,2h 36m,Drama
Movie 27,This is the description of movie 27,8.6,2017,3h 37m,Drama
Movie 28,This is the description of movie 28,8.1,2018,2h 38m,Drama
Movie 29,This is the description of movie 29,8.9,2019,3h 39m,Drama
Movie 30,This is the description of movie 30,9.1,1990,2h 40m,Drama
Movie 31,This is the description of movie 31,9.8,1991,3h 41m,Drama
Movie 32,This is the description of movie 32,8.1,1992,2h 42m,Drama
Movie 33,This is the description of movie 33,9.8,1993,3h 43m,Drama
Movie 34,This is the description of movie 34,8.3,1994,2h 44m,Drama
Movie 35,This is the description of movie 35,8.2,1995,3h 45m,Drama
Movie 36,This is the description of movie 36,9.0,1996,2h 46m,Drama
Movie 37,This is the description of movie 37,9.8,1997,3h 47m,Drama
Movie 38,This is the description of movie 38,8.4,1998,2h 48m,Drama
Movie 39,This is the description of movie 39,8.6,1999,3h 49m,Drama
Movie 40,This is the description of movie 40,8.8,2000,2h 50m,Drama
Movie 41,This is the description of movie 41,8.6,2001,3h 51m,Drama
Movie 42,This is the description of movie 42,10.0,2002,2h 52m,Drama
Movie 43,This is the description of movie 43,9.8,2003,3h 53m,Drama
Movie 44,This is the description of movie 44,8.6,2004,2h 54m,Drama
Movie 45,This is the description of movie 45,9.1,2005,3h 55m,Drama
Movie 46,This is the description of movie 46,9.6,2006,2h 56m,Drama
Movie 47,This is the description of movie 47,9.3,2007,3h 57m,Drama
Movie 48,This is the description of movie 48,9.5,2008,2h 58m,Drama
Movie 49,This is the description of movie 49,8.4,2009,3h 59m,Drama
Movie 50,This is the description of movie 50,9.1,2010,2h 10m,Drama
Movie 51,This is the description of movie 51,9.8,2011,3h 11m,Drama
Movie 52,This is the description of movie 52,8.1,2012,2h 12m,Drama
Movie 53,This is the description of movie 53,9.2,2013,3h 13m,Drama
Movie 54,This is the description of movie 54,9.3,2014,2h 14m,Drama
Movie 55,This is the description of movie 55,10.0,2015,3h 15m,Drama
Movie 56,This is the description of movie 56,9.1,2016,2h 16m,Drama
Movie 57,This is the description of movie 57,8.9,2017,3h 17m,Drama
Movie 58,This is the description of movie 58,9.5,2018,2h 18m,Drama
Movie 59,This is the description of movie 59,9.4,2019,3h 19m,Drama
Movie 60,This is the description of movie 60,9.6,1990,2h 20m,Drama
Movie 61,This is the description of movie 61,8.6,1991,3h 21m,Drama
Movie 62,This is the description of movie 62,9.6,1992,2h 22m,Drama
Movie 63,This is the description of movie 63,8.2,1993,3h 23m,Drama
Movie 64,This is the description of movie 64,9.5,1994,2h 24m,Drama
Movie 65,This is the description of movie 65,8.9,1995,3h 25m,Drama
Movie 66,This is the description of movie 66,9.7,1996,2h 26m,Drama
Movie 67,This is the description of movie 67,9.4,1997,3h 27m,Drama
